Account Name,Account Number,Account Type,National Account,Brand,Branch,Main Phone,Account Executive,Last Billed On,Address 1: Street 1,Address 1: Street 2,Address 1: City,Address 1: ZIP/Postal Code
Wirtz Beverage Illinois,434322,Customer,No,ResourceMFG,"Peoria, IL",(309) 693-3737,Marcia Cannon,2/6/14,1620 W CHANUTE RD, ,PEORIA,61615
WMBD,435739,Prospect,No,ResourceMFG,"Peoria, IL", ,CRMADMIN Admin,,3131 N University, ,Peoria,61604
Wolf Distributing,586326,Prospect,No,ResourceMFG,"Peoria, IL",(309) 839-8953,Isabel Diefenbach,,1809 West Chanute Road,,Peoria,61615
"Wombacher, Baymiller & Radley",435037,Prospect,No,ResourceMFG,"Peoria, IL",(309) 674-8125,House Account,8/30/13,416 Main St  Suite #700, ,Peoria,61602
Wood River Refinery,435589,Prospect,No,ResourceMFG,"Peoria, IL",(618) 255-3001,CRMADMIN Admin,,900 S. Central Ave,P.O. Box,Roxana,62084
Woolf Distributing Co,588028,Prospect,No,ResourceMFG,"Peoria, IL",(309) 697-1760,Isabel Diefenbach,,515 S Maxwell Rd,,Peoria,61607
XPO Logistics,462367,Prospect,Yes,ResourceMFG,"Peoria, IL",(309) 454-7929,Pam Quinlan,,2110 Hovey Ave,,Normal,61761
Xtreme Cleaners Cleaning Services,739873,Prospect,No,ResourceMFG,"Peoria, IL",3092875914,Isabel Diefenbach,,1206 S. Adelaide St # 7,,Normal,61761
Yazaki,593107,Prospect,No,ResourceMFG,"Peoria, IL",,Isabel Diefenbach,,Eagle Rd,,Bloomington,61704
Yes Beauty,435256,Prospect,No,ResourceMFG,"Peoria, IL",(309) 750-0377,House Account,5/23/13,1710 Bradford Lane  Suite 111, ,Normal,61761
Yinlun TDI LLC,745742,Customer,No,ResourceMFG,"Peoria, IL",3092913705,Bryan Gibson,6/5/22,77 Commerce Drive,,Morton,61550
Yinlun TDI LLC,562990,Prospect,No,ResourceMFG,"Peoria, IL",(309) 291-0843,Isabel Diefenbach,,77 Commerce Dr,,Morton,61550
YRC Freight,600771,Prospect,No,ResourceMFG,"Peoria, IL",(309) 266-6411,Isabel Diefenbach,,780 W Birchwood St,,Morton,61550
Zarc International,707325,Prospect,No,ResourceMFG,"Peoria, IL",8008827011,Isabel Diefenbach,,529 South Petri Drive,,Minonk,61760
ZDI,602867,Prospect,No,ResourceMFG,"Peoria, IL",(309) 451-3999,Isabel Diefenbach,,2200 Main St,,Normal,61761
ZDI Inc,588374,Prospect,No,ResourceMFG,"Peoria, IL",(309) 451-3999,Isabel Diefenbach,,2200 Main St,,Normal,61761
Ziegler Industries,593199,Prospect,No,ResourceMFG,"Peoria, IL",(309) 470-1614,Isabel Diefenbach,,,,Pekin,61554
Zobrist Construction,563161,Prospect,No,ResourceMFG,"Peoria, IL",(309) 263-1230,Isabel Diefenbach,,95 Commerce Dr,,Morton,61550
1st Choice Delivery,490621,Customer,No,ProLogistix,"St. Louis, MO",5734745284,Matt Biehl,1/20/19,5485 Brown Ave,,Saint Louis,63115
24 Seven Enterprises,610969,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,13600 Shoreline Drive Ste 900,,Earth City,63045
3M-  DH,775732,Customer,No,ProLogistix,"St. Louis, MO",6517331110,Christopher Tufano,,,,Avon,44011
4m Industries,789464,Prospect,No,ProLogistix,"St. Louis, MO",7347627200,Chris Harrelson,,35300 Glendale St,,Livonia,48150
5 Horizons Group,687473,Prospect,No,ProLogistix,"St. Louis, MO",(855) 670-9930,Craig Carmody,,"2130 Bowles Ave,",,Fenton,63026
"A. S. & W. Wholesale of St.Louis, Inc",408809,Prospect,No,ProLogistix,"St. Louis, MO",(314) 209-1213,House Account,,4215 Shoreline Drive,,Earth City,63045
ABC Carpeting,401945,Prospect,No,ProLogistix,"St. Louis, MO",(314) 555-6724,Lindsey Johnson,,,,Bridgeton,63044
ABC Supply Co,543580,Prospect,No,ProLogistix,"St. Louis, MO",(636) 272-4766,Matt Biehl,,601 Cannonball Ln,,O Fallon,63366
Accent Group Solutions,538627,Prospect,No,ProLogistix,"St. Louis, MO",(314) 965-5388,Matt Biehl,12/18/16,1154 Reco Ave,,Saint Louis,63126
Accent Group Solutions,228796,Prospect,,ProLogistix,"St. Louis, MO",(314) 965-5388,House Account,,1154 Reco Ave,,SAINT LOUIS,63126
Access,602788,Prospect,No,ProLogistix,"St. Louis, MO",(314) 595-5276,Matt Biehl,,629 Lambert Pointe Dr,,Hazelwood,63042
Access Securepak,621024,Customer,No,ProLogistix,"St. Louis, MO",8005466283,Matt Biehl,2/27/22,1260 Andes Blvd,,Saint Louis,63132
"Acro/Pitney Bowes/Bridgeton,MO",652519,Customer,Yes,ProLogistix,"St. Louis, MO",,Angela Fonner,5/2/21,288 Hanley Industrial Ct,,Saint Louis,63144
Acro/USFoods/St. Louis MO,780703,Prospect,Yes,ProLogistix,"St. Louis, MO",8008884855,Matt Biehl,3/24/24,8543 Page Ave Street,,Saint Louis,63114
AdvantagexPO/Vallen/Bridgeton,732452,Customer,Yes,ProLogistix,"St. Louis, MO",,Will Skowyra,5/16/21,12999 St. Charles Rock Road,,Bridgeton,63044
Aesculap,201932,Prospect,,ProLogistix,"St. Louis, MO",(314) 895-4400,House Account,11/20/11,615 Lambert Pointe Drive,,HAZELWOOD,63042
Aesculap Inc,424581,Prospect,No,ProLogistix,"St. Louis, MO",5515963314,House Account,2/19/17,3373 Corporate Parkway,,Center Valley,18034
Affton Trucking,715479,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,420 Gimblin Road,,Saint Louis,63147
Agile Packaging Solutions LLC,735037,Customer,No,ProLogistix,"St. Louis, MO",2104140959,Will Skowyra,8/22/21,1605 Park 370 Place,,Hazelwood,63042
Air Evac Lifeteam,403953,Prospect,No,ProLogistix,"St. Louis, MO",(636) 695-5390,House Account,4/27/14,1001 Boardwalk Springs Place,,Dardenne Prairie,63368
Air Management,593284,Prospect,No,ProLogistix,"St. Louis, MO",(314) 567-5131,Matt Biehl,,2445 Northline Industrial Drive,,Maryland Heights,63043
Aldi,521514,Prospect,No,ProLogistix,"St. Louis, MO",(636) 278-4700,Matt Biehl,,475 Pearl Dr,,Saint Peters,63376
ALDI Distribution Center,732881,Customer,No,ProLogistix,"St. Louis, MO",6362784700,Matt Biehl,10/3/21,475 Pearl Drive,,Saint Peters,63376
All Mail USA,643280,Prospect,No,ProLogistix,"St. Louis, MO",(314) 426-6245,Matt Biehl,,8517 Mid CountyIndustrial Dr,,Saint Louis,63114
All Type Vacuum & Janitorial Supply,601929,Prospect,No,ProLogistix,"St. Louis, MO",(314) 427-0634,Matt Biehl,,10678 Trenton Ave,,Saint Louis,63132
"Allegis / Iron Mountain / Hazelwood, MO",552400,Customer,Yes,ProLogistix,"St. Louis, MO",3148727249,Matt Biehl,5/12/19,11741 Missouri Bottom Rd,,Hazelwood,63042
Allegis/Office Depot,606966,Customer,Yes,ProLogistix,"St. Louis, MO",(314) 209-0016,Matt Biehl,,13795 Rider Trail N Ste 108,,Earth City,63045
"Allegis/Office Depot/Earth City, MO",671464,Customer,Yes,ProLogistix,"St. Louis, MO",3142090016,Matt Biehl,5/22/22,13795 Rider Trail North,Ste 108,Earth City,63045
"Allegis/Staples/Berkeley, MO",511630,Customer,Yes,ProLogistix,"St. Louis, MO",3145067663,Matt Biehl,1/12/20,8941 Springdale Ave,,Saint Louis,63134
Allstates WorldCargo,613127,Prospect,No,ProLogistix,"St. Louis, MO",(314) 429-7555,Matt Biehl,,4510 Woodson Rd,,Saint Louis,63134
ALMO Distributing,512243,Prospect,No,ProLogistix,"St. Louis, MO",(267) 350-2795,Matt Biehl,,125 Fountain Lakes Industrial Dr,,Saint Charles,63301
Alro Steel,539145,Prospect,No,ProLogistix,"St. Louis, MO",(314) 726-3080,Matt Biehl,,8000 Hall Street,,Saint Louis,63147
Alside,509727,Customer,Yes,ProLogistix,"St. Louis, MO",3147701663,Matt Biehl,5/5/19,13880 Parks Steed Dr,,Earth City,63045
Amazon,609001,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,,,Hazelwood,63042
Ambassador Floor Company,433375,Prospect,No,ProLogistix,"St. Louis, MO",(636) 728-1600,House Account,,17770 Chesterfield Airport Rd,,Chesterfield,63005
Amcor,633405,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 731-4488,Matt Biehl,,5801 N Lindbergh Blvd,,Hazelwood,63042
American Freight,695744,Prospect,No,ProLogistix,"St. Louis, MO",(636) 922-9555,Craig Carmody,,4525 Veterans Memorial Pkwy,,Saint Peters,63376
American Metal Supply,554734,Prospect,No,ProLogistix,"St. Louis, MO",(636) 349-5560,Matt Biehl,,1617 Park 370 Ct,,Hazelwood,63042
American Red Cross,586325,Prospect,No,ProLogistix,"St. Louis, MO",(314) 679-5528,Matt Biehl,,4300 Planned Industrial Dr,,Saint Louis,63120
Americold,590487,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 428-8800,Matt Biehl,,8501 Page Ave,,Saint Louis,63114
Americold /IQN/St Louis MO,418921,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 428-8800,House Account,11/2/14,8501 Page Ave,,Saint Louis,63114
AMI Group,781579,Prospect,Yes,ProLogistix,"St. Louis, MO",(678) 231-3817,Robert Bencko,10/15/23,8725 Scudder Rd.,,Saint Louis,63140
AMS Automotive,544265,Prospect,No,ProLogistix,"St. Louis, MO",(636) 349-1211,Matt Biehl,,415 Axminister Dr A,,Fenton,63026
Andy's Seasoning,411557,Prospect,No,ProLogistix,"St. Louis, MO",(314) 664-3004,House Account,,2829 Chouteau Ave,,Saint Louis,63103
Andy's Seasoning,544262,Prospect,No,ProLogistix,"St. Louis, MO",(314) 664-3004,Matt Biehl,,2829 Chouteau Ave,,Saint Charles,63303
Anixter,556310,Prospect,No,ProLogistix,"St. Louis, MO",(636) 326-6810,Matt Biehl,,2509 Cassens Dr,,Fenton,63026
Anji Mountain,595388,Prospect,No,ProLogistix,"St. Louis, MO",(314) 576-1000,Matt Biehl,,11445 Moog Dr,,Saint Louis,63146
Apollo Express Inc.,721585,Customer,No,ProLogistix,"St. Louis, MO",(314) 344-0333,Will Skowyra,2/17/20,170 Corporate Wood Ct,,Bridgeton,63044
Applied Industrial Tech Inc,209526,Prospect,,ProLogistix,"St. Louis, MO",(314) 739-7391,House Account,,3525 Rider Trail S,,EARTH CITY,63045
Aquarius LTD,419067,Prospect,No,ProLogistix,"St. Louis, MO",(314) 664-4498,House Account,,3200 S Kingshighway,,Saint Louis,63139
Aramark,209529,Prospect,,ProLogistix,"St. Louis, MO",(314) 291-4255,House Account,,13766 Shoreline Dr,,EARTH CITY,63045
Architectural Granite & Marble,628938,Prospect,No,ProLogistix,"St. Louis, MO",(314) 995-7263,Matt Biehl,3/24/24,1200 Andes Blvd,,Saint Louis,63132
Arcobasso,563018,Prospect,No,ProLogistix,"St. Louis, MO",(314) 381-8083,Matt Biehl,,8840 Pershall Rd,,Hazelwood,63042
Arctic Foods,559755,Prospect,No,ProLogistix,"St. Louis, MO",(314) 815-3888,Matt Biehl,,498 Bussen Rd,,Saint Louis,63129
Aria Logistics,767899,Prospect,No,ProLogistix,"St. Louis, MO",8006311895,Matt Biehl,,5820 Fee Fee Road,,Hazelwood,63042
Ariel Premium Supply Inc,403420,Prospect,No,ProLogistix,"St. Louis, MO",3147870729,Matt Biehl,1/1/17,8825 Page Ave,,St. Louis,63114
Aries,618785,Prospect,No,ProLogistix,"St. Louis, MO",(314) 664-6610,Matt Biehl,,4940 Northrup Ave,,Saint Louis,63110
Ashley Furniture,554741,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 714-7609,Matt Biehl,,9791 Green Park Industrial Dr,,Saint Louis,63123
Aspen Marketing Services,404165,Prospect,No,ProLogistix,"St. Louis, MO",(314) 447-6011,House Account,7/3/16,One American Eagle Plaza,,Earth City,63045
Aspen/ Earth City,686236,Prospect,No,ProLogistix,"St. Louis, MO",(314) 344-3380,Craig Carmody,,1 American Eagle Plaza,,Earth City,63045
Associated Footwear,589468,Prospect,No,ProLogistix,"St. Louis, MO",(314) 427-9100,Matt Biehl,,2021 Concourse Drive,,Saint Louis,63146
ATD Tools,647118,Prospect,No,ProLogistix,"St. Louis, MO",(636) 887-8723,Matt Biehl,,160 Enterprise Dr,,Wentzville,63385
ATD Tools,591740,Prospect,No,ProLogistix,"St. Louis, MO",(636) 887-8723,House Account,,160 Enterprise Dr,,Wentzville,63385
A-Tech,613283,Prospect,No,ProLogistix,"St. Louis, MO",(610) 250-5372,Matt Biehl,,8801 Seeger Industrial Drive,,Saint Louis,63134
"AutoPlus/WorkNexus/St Louis,MO",614239,Customer,Yes,ProLogistix,"St. Louis, MO",3147726900,Matt Biehl,1/3/21,2771 Chouteau,,Saint Louis,63103
Averitt,686303,Prospect,No,ProLogistix,"St. Louis, MO",(800) 283-7488,Craig Carmody,,13923 St. Charles Rock Road,,Bridgeton,63044
Averitt/Earth City MO,686226,Prospect,No,ProLogistix,"St. Louis, MO",(800) 283-7488,Craig Carmody,,13923 St Charles Rock Rd,,Bridgeton,63044
B & J Peerless Food Service Equipment,641100,Prospect,No,ProLogistix,"St. Louis, MO",(314) 428-1247,Matt Biehl,,1616 Dielman Rd,,Saint Louis,63132
B & L Drayage & Warehouse Co,618960,Prospect,No,ProLogistix,"St. Louis, MO",(314) 381-4905,Matt Biehl,,725 E Carrie Ave,,Saint Louis,63147
Baisch and Skinner Inc,411560,Prospect,No,ProLogistix,"St. Louis, MO",(314) 664-1212,House Account,,2721 LaSalle St,,Saint Louis,63104
Bartech/Westrock/Chesterfield,727012,Customer,Yes,ProLogistix,"St. Louis, MO",6365323492,Angela Fonner,2/21/21,577 Goddard Ave,,Chesterfield,63005
Bartech/Westrock/Prologistix 30047,728153,Prospect,Yes,ProLogistix,"St. Louis, MO",6365323492,Cynthia Carr,,577 Goddard Ave.,,Chesterfield,63005
Bassik Services,737394,Customer,No,ProLogistix,"St. Louis, MO",,Matt Biehl,7/25/21,133 James S McDonnell Blvd Ste 101,,Hazelwood,63042
Bastian Solutions,746453,Customer,No,ProLogistix,"St. Louis, MO",3144322224,Stacey Whaley,11/14/21,2200 Forte Court,,Maryland Heights,63043
Bastian Solutions,434112,Customer,No,ProLogistix,"St. Louis, MO",(314) 708-1567,House Account,3/20/16,6750 Manchester Ave,,Saint Louis,63139
"Batesville Casket Company, Inc",207763,Customer,,ProLogistix,"St. Louis, MO",(314) 429-6350,CRMADMIN Admin,7/5/09,13884 Parks Steed Drive,,EARTH CITY,63045
Bax Global,203755,Prospect,,ProLogistix,"St. Louis, MO",(314) 731-3338,House Account,,6117 James S McDonnell Blvd,,SAINT LOUIS,63134
BC Group International,724923,Prospect,No,ProLogistix,"St. Louis, MO",3146383800,Will Skowyra,,,,,
Bci,209605,Prospect,,ProLogistix,"St. Louis, MO",(636) 978-4300,House Account,,200 Trade Center Dr,,SAINT PETERS,63376
Beacon Roofing Supply,645671,Prospect,No,ProLogistix,"St. Louis, MO",(314) 828-3373,Matt Biehl,,625 Lambert Pointe Dr,,Hazelwood,63042
Beauty Trends,410027,Prospect,No,ProLogistix,"St. Louis, MO",(314) 785-0221,House Account,,10725 Midwest Industrial Blvd,,Saint Louis,63132
Becker Glove International,521868,Customer,No,ProLogistix,"St. Louis, MO",3142989810,Matt Biehl,2/9/20,401 Hazelwood Logistics Center Dr suite 900,,Hazelwood,63042
Beckwood,643764,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,2086 Fenton Logistics Park,,Fenton,63026
Bee Line,589039,Prospect,No,ProLogistix,"St. Louis, MO",(636) 326-6300,Matt Biehl,,2012 Corporate 44 Dr.,,Fenton,63026
"Beeline / Cardinal Health / Earth City, MO",212415,Customer,Yes,ProLogistix,"St. Louis, MO",3142916565,Matt Biehl,12/30/18,13636 Lakefront Dr,,EARTH CITY,63045
Beeline/Cardinal Health/Earth City,737647,Customer,Yes,ProLogistix,"St. Louis, MO",,Will Skowyra,4/11/21,13636 Lakefront Drive,,Earth City,63045
Beeline/Cardinal Health/StCharles,736677,Prospect,Yes,ProLogistix,"St. Louis, MO",3142093396,Phillip Tallo,4/11/21,2840 Elm Point Industrial Drive,,Saint Charles,63301
Beeline/DHL/Chrysler/Hazelwood MO,631001,Customer,Yes,ProLogistix,"St. Louis, MO",3148950260,Jacob Taylor,11/13/22,5790 Campus Parkway,,Hazelwood,63042
"Beeline/Home Depot/St. Louis, MO",641549,Prospect,Yes,ProLogistix,"St. Louis, MO",3143885955,Matt Biehl,3/24/24,9215 Riverview Dr,,Saint Louis,63137
"Beeline/KDP/Hazelwood, MO",760398,Prospect,Yes,ProLogistix,"St. Louis, MO",(877) 208-9991,Matt Biehl,3/24/24,555 James S McDonnell Blvd,,Hazelwood,63042
Bellville Boot Company,649407,Prospect,No,ProLogistix,"St. Louis, MO",(618) 233-5600,Matt Biehl,,100 Premier Dr,,Belleville,62220
Bender Graphics,223760,Customer,,ProLogistix,"St. Louis, MO",(314) 849-1441,CRMADMIN Admin,2/21/10,1600 Fenpark Drive,,FENTON,63026
Benoist Brothers Supply Company,585019,Prospect,No,ProLogistix,"St. Louis, MO",(636) 717-1014,Matt Biehl,,641 Axminister Dr,,Fenton,63026
Berlin Packaging,209530,Customer,Yes,ProLogistix,"St. Louis, MO",3143444488,Matt Biehl,3/19/23,401 Hazelwood Logistics Center Dr,Ste 100,Earth City,63045
Best Buy,512827,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,3774 Rider Trail South,,Earth City,63045
Betallic,640183,Prospect,No,ProLogistix,"St. Louis, MO",(314) 991-8800,Matt Biehl,,2326 Grissom Dr,,Saint Louis,63146
Beyers Lumber,745956,Customer,No,ProLogistix,"St. Louis, MO",3148091213,Matt Biehl,6/26/22,1616 Woodson Rd,,Saint Louis,63114
Beyond Components,598133,Prospect,No,ProLogistix,"St. Louis, MO",(314) 344-0344,Matt Biehl,,12110 Prichard Farm Road,,Maryland Heights,63043
Bimbo Bakeries,555692,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 291-8000,Matt Biehl,,201 Delord Ave,,Maryland Heights,63043
BJC Healthcare,586065,Prospect,No,ProLogistix,"St. Louis, MO",(314) 996-8996,Matt Biehl,,510 S Kingshighway Blvd,,Saint Louis,63108
Blackmore and Glunt,643512,Customer,No,ProLogistix,"St. Louis, MO",3148784313,Matt Biehl,1/20/19,12 Kilmer Dr,,Maryland Heights,63043
Blome International,421757,Customer,No,ProLogistix,"St. Louis, MO",(636) 379-9119,House Account,8/17/14,1450 Hoff Industrial Drive,,O Fallon,63366
"Blue Line Foodservice Distribution, Inc.",230467,Customer,,ProLogistix,"St. Louis, MO",(248) 442-4647,House Account,9/4/11,24120 Haggerty Rd,,FARMINGTON,48335
BlueLinx,523212,Prospect,No,ProLogistix,"St. Louis, MO",(314) 209-0800,Matt Biehl,,1380 Corporate Woods Trail,,Earth City,63045
"Bo15, Inc. / Skprint.com",637817,Prospect,No,ProLogistix,"St. Louis, MO",(888) 355-0345,Matt Biehl,,"1927, 1003 Liberty Industrial Dr",,O Fallon,63366
Bobo's Fundraising,560543,Customer,No,ProLogistix,"St. Louis, MO",3142916155,Matt Biehl,10/14/18,264 Boulder Industrial Dr,,Bridgeton,63044
Bono Burns Distributing Inc,622404,Prospect,No,ProLogistix,"St. Louis, MO",(314) 644-6166,Matt Biehl,,3616 S Big Bend Blvd,,Saint Louis,63143
Border States Electric,646749,Prospect,No,ProLogistix,"St. Louis, MO",(866) 377-2158,Matt Biehl,,1600 park 370 pl #1,,Hazelwood,63042
"Borgasorus Books, Inc.",640051,Prospect,No,ProLogistix,"St. Louis, MO",(636) 791-1196,Matt Biehl,,,,Wright City,63390
Boxes Inc.,232370,Customer,No,ProLogistix,"St. Louis, MO",(314) 781-2600,House Account,11/10/13,1833 Knox Ave,,SAINT LOUIS,63139
"Boxes, Inc.",736035,Customer,No,ProLogistix,"St. Louis, MO",3147812600,Matt Biehl,4/16/23,111 Boulder Industrial Drive,,Bridgeton,63044
Brahlers,539148,Prospect,No,ProLogistix,"St. Louis, MO",(314) 678-0880,Matt Biehl,,8000 Hall St.,,Saint Louis,63147
Brand Addition,541232,Customer,No,ProLogistix,"St. Louis, MO",3145351888,Matt Biehl,3/1/20,909 N 20th St,,Saint Louis,63106
Brenntag Mid-South,649750,Customer,Yes,ProLogistix,"St. Louis, MO",3146215155,Matt Biehl,7/25/21,126 Chouteau Ave,,Saint Louis,63102
Brenntag Mid-South,221911,Prospect,,ProLogistix,"St. Louis, MO",(314) 621-5155,House Account,10/23/11,126 Chouteau Avenue,,SAINT LOUIS,63102
Brenntag Mid-South Inc.,231459,Prospect,,ProLogistix,"St. Louis, MO",(314) 621-5155,House Account,,126 Chouteau Ave,,SAINT LOUIS,63102
Broadleaf/Grainger/FentonMO,459339,Customer,Yes,ProLogistix,"St. Louis, MO",(847) 535-5720,House Account,,1780 Gilsinn Ln,,Fenton,63026
Bronx and Diba Shoes,554127,Prospect,No,ProLogistix,"St. Louis, MO",(314) 373-1280,Matt Biehl,,3630 Corporate Trail Dr,,Earth City,63045
Buffalo Group,583122,Prospect,No,ProLogistix,"St. Louis, MO",(636) 294-7130,Matt Biehl,,950 Hoff Rd,,O Fallon,63366
BuildingStars,607134,Prospect,No,ProLogistix,"St. Louis, MO",(314) 991-3356,Matt Biehl,,33 Worthington Access Dr,,Maryland Heights,63043
Bunzl,210961,Prospect,,ProLogistix,"St. Louis, MO",(314) 569-2800,House Account,,441 Hazelwood Logistics Center Dr,,Hazelwood,63042
Bunzl Distribution,226219,Customer,,ProLogistix,"St. Louis, MO",(314) 569-2800,House Account,6/26/11,11434 Moog Drive,,SAINT LOUIS,63146
C Bennett Supply,631342,Prospect,No,ProLogistix,"St. Louis, MO",(636) 379-9886,Matt Biehl,,1700 W Terra Ln,,O Fallon,63366
C.H. Robinson,552891,Prospect,No,ProLogistix,"St. Louis, MO",(314) 427-4222,Matt Biehl,,4659 World Pkwy Cir,,Saint Louis,63134
C.L. Smith,592097,Prospect,No,ProLogistix,"St. Louis, MO",(314) 771-1202,Matt Biehl,,1311 S 39th St,,Saint Louis,63110
Cabka North America Inc.,408127,Customer,No,ProLogistix,"St. Louis, MO",(314) 731-0302,House Account,7/27/14,105 Byassee Dr,,Hazelwood,63042
Cameron Ashley Building Products,753847,Customer,Yes,ProLogistix,"St. Louis, MO",8002663766,Matt Biehl,8/6/23,979 Batesville Road,,Greer,29651
Canfield & Joseph,520841,Customer,No,ProLogistix,"St. Louis, MO",3143810151,Matt Biehl,6/18/17,5460 Brown Ave,,Saint Louis,63120
Canteen Vending Services,610966,Prospect,No,ProLogistix,"St. Louis, MO",(314) 423-6200,Matt Biehl,,2331 Millpark Dr,,Maryland Heights,63043
Capitol Group,559480,Prospect,No,ProLogistix,"St. Louis, MO",(314) 446-1542,Matt Biehl,,1620 Headland Dr,,Fenton,63026
"Capitol Group/O'Fallon, MO",775583,Customer,No,ProLogistix,"St. Louis, MO",2173038970,Matt Biehl,6/11/23,60 North Central Drive,,O Fallon,63366
Capstone Logistics,781606,Prospect,Yes,ProLogistix,"St. Louis, MO",(770) 414-1929,Matt Biehl,3/24/24,8949 Springdale Avenue,,Saint Louis,63134
Capstone Logistics,651384,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,,,Saint Louis,63134
Carboline/St. Louis,687199,Prospect,No,ProLogistix,"St. Louis, MO",(314) 644-1000,Craig Carmody,,350 Hanley Industrial Ct.,,Saint Louis,63144
Cardinal Building Materials,404832,Prospect,No,ProLogistix,"St. Louis, MO",(314) 298-9090,House Account,,3634 Pennridge Dr,,Bridgeton,63044
Cardinal Health,684754,Prospect,No,ProLogistix,"St. Louis, MO",(614) 757-5000,Craig Carmody,,13636 Lakefront Dr,,Earth City,63045
Caribbean Creme,596149,Prospect,No,ProLogistix,"St. Louis, MO",3148655555,Matt Biehl,10/6/19,4241 Folsom Ave,,Saint Louis,63110
Carolina Logistics Services,215734,Prospect,,ProLogistix,"St. Louis, MO",(314) 428-2050,House Account,,8495 Mid County Ind. Dr,,SAINT LOUIS,63114
Carpet Cushions & Supplies,747935,Customer,No,ProLogistix,"St. Louis, MO",3145673491,Jacob Taylor,1/29/23,11745 Lackland Road,,Saint Louis,63146
Cat5 Commerce,615772,Prospect,No,ProLogistix,"St. Louis, MO",(636) 680-8000,Matt Biehl,,18167 Edison Ave,,Chesterfield,63005
CCA Global Partners,544192,Prospect,No,ProLogistix,"St. Louis, MO",(314) 506-0000,Matt Biehl,,4301 Earth City Expressway,,Earth City,63045
Cee Kay Supply,640300,Prospect,No,ProLogistix,"St. Louis, MO",(314) 644-3500,Matt Biehl,,5835 Manchester Ave,,Saint Louis,63110
Central Paper Stock Co,595016,Prospect,No,ProLogistix,"St. Louis, MO",(314) 521-8686,Matt Biehl,,6665 Jonas Place,,Saint Louis,63134
"Ceva-FM / St Louis, MO",422229,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 624-5500,Matt Biehl,4/24/16,4745 Earth City Expressway,,Bridgeton,63044
Ceva-FM BU 0471,207125,Prospect,Yes,ProLogistix,"St. Louis, MO",(314) 264-5500,House Account,8/14/16,4745 Earth City Expressway,,BRIDGETON,63044
Chadwell Supply,645154,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,,,Hazelwood,63042
Champion Manufacturing,421904,Customer,No,ProLogistix,"St. Louis, MO",(314) 983-0921,House Account,11/22/15,1515 Adie Rd,,Maryland Heights,63043
Chart Distribution,553231,Prospect,No,ProLogistix,"St. Louis, MO",(314) 522-1112,Matt Biehl,,8801 Frost Ave,,Saint Louis,63134
Chemline,696168,Prospect,No,ProLogistix,"St. Louis, MO",(314) 664-2230,Craig Carmody,,5151 Natural Bridge Ave,,Saint Louis,63115
Cheyenne Logistics,583130,Prospect,No,ProLogistix,"St. Louis, MO",(636) 980-4500,Matt Biehl,,944 Lone Star Dr,,O Fallon,63366
Chocolate Chocolate Chocolate,618783,Prospect,No,ProLogistix,"St. Louis, MO",(314) 338-3501,Matt Biehl,,5025 Pattison Ave,,Saint Louis,63110
CI Select,554148,Prospect,No,ProLogistix,"St. Louis, MO",(314) 565-9370,Matt Biehl,,3667 Corporate Trail Dr,,Earth City,63045
Cintas,512241,Prospect,Yes,ProLogistix,"St. Louis, MO",3148621010,Phillip Tallo,4/22/18,6200 Olive Blvd,,Saint Louis,63130
CIRX 360,721583,Customer,No,ProLogistix,"St. Louis, MO",,Will Skowyra,9/27/20,5400 N. Hanley,,Saint Louis,63134
Cirx 360 Logistics,721962,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,5400 N Hanley Rd,,Saint Louis,63134
CIT Trucks,687491,Prospect,No,ProLogistix,"St. Louis, MO",(636) 343-6900,Craig Carmody,,185 Soccer Park Rd #2520,,Fenton,63026
Citi Bank Records Center,628928,Prospect,No,ProLogistix,"St. Louis, MO",(636) 329-0792,Matt Biehl,,1000 Technology Dr,,O Fallon,63368
Citrus Springs,594383,Prospect,No,ProLogistix,"St. Louis, MO",(314) 770-0210,Matt Biehl,,1600 Park 370 Pl Ste 9,,Hazelwood,63042
City Lighting,643864,Prospect,No,ProLogistix,"St. Louis, MO",,Matt Biehl,,,,Saint Louis,63110
Clark Logistic Services,199809,Customer,,ProLogistix,"St. Louis, MO",(314) 389-4004,CRMADMIN Admin,4/20/08,3901 Union Blvd.,Suite 115,SAINT LOUIS,63115
Clark Logistics,490624,Prospect,No,ProLogistix,"St. Louis, MO",(314) 884-7027,Matt Biehl,,3901 Union Blvd,,Saint Louis,63115
